CoverageID,CoverageCode,CoverageName,CoverageDescription,FID_CoverageCategory,DefaultLimitType,DefaultDeductibleType,MinimumLimitAmount,MaximumLimitAmount,DefaultLimitAmount,MinimumDeductibleAmount,MaximumDeductibleAmount,DefaultDeductibleAmount,CoinsurancePercentage,WaitingPeriodDays,AggregateLimitIndicator,OccurrenceLimitIndicator,EffectiveFrom,EffectiveTo,FID_InsurancePlan
COV090,PA-MULTI-LIAB-STD-PD,Multi-Vehicle Liability Vehicle Damage Coverage,"Covers standard repair or replacement exposure for covered vehicles, subject to plan terms and deductible rules.",2,PER_OCCURRENCE,FLAT,25000,1000000,100000,250,5000,1000,0,0,FALSE,TRUE,"Jan 01, 2020",,PL045
COV091,PA-MULTI-LIAB-ENH-LIAB,Multi-Vehicle Liability Core Liability Coverage,"Provides enhanced third-party liability protection for covered auto claims, including bodily injury and property damage obligations.",1,COMBINED_SINGLE_LIMIT,FLAT,100000,5000000,1000000,0,2500,0,0,0,FALSE,TRUE,"Jan 01, 2020",,PL046
COV092,PA-MULTI-LIAB-ENH-PD,Multi-Vehicle Liability Vehicle Damage Coverage,"Covers enhanced repair or replacement exposure for covered vehicles, subject to plan terms and deductible rules.",2,PER_OCCURRENCE,FLAT,25000,1000000,250000,250,5000,500,0,0,FALSE,TRUE,"Jan 01, 2020",,PL046
COV093,PA-MULTI-PACK-STD-LIAB,Multi-Vehicle Package Coverage Core Liability Coverage,"Provides standard third-party liability protection for covered auto claims, including bodily injury and property damage obligations.",1,COMBINED_SINGLE_LIMIT,FLAT,100000,5000000,500000,0,2500,0,0,0,FALSE,TRUE,"Jan 01, 2020",,PL047
COV094,PA-MULTI-PACK-STD-PD,Multi-Vehicle Package Coverage Vehicle Damage Coverage,"Covers standard repair or replacement exposure for covered vehicles, subject to plan terms and deductible rules.",2,PER_OCCURRENCE,FLAT,25000,1000000,100000,250,5000,1000,0,0,FALSE,TRUE,"Jan 01, 2020",,PL047
COV095,PA-MULTI-PACK-ENH-LIAB,Multi-Vehicle Package Coverage Core Liability Coverage,"Provides enhanced third-party liability protection for covered auto claims, including bodily injury and property damage obligations.",1,COMBINED_SINGLE_LIMIT,FLAT,100000,5000000,1000000,0,2500,0,0,0,FALSE,TRUE,"Jan 01, 2020",,PL048
COV096,PA-MULTI-PACK-ENH-PD,Multi-Vehicle Package Coverage Vehicle Damage Coverage,"Covers enhanced repair or replacement exposure for covered vehicles, subject to plan terms and deductible rules.",2,PER_OCCURRENCE,FLAT,25000,1000000,250000,250,5000,500,0,0,FALSE,TRUE,"Jan 01, 2020",,PL048
COV097,HOME-HO3-DWELL-STD-PROP,HO-3 Dwelling Coverage Residential Property Coverage,"Covers standard residential property exposure for the insured dwelling, unit, or personal property as applicable.",5,PER_OCCURRENCE,FLAT,100000,3000000,300000,500,10000,1000,0.8,0,FALSE,TRUE,"Jan 01, 2020",,PL049
COV098,HOME-HO3-DWELL-STD-LIAB,HO-3 Dwelling Coverage Household Liability Coverage,Provides standard personal liability protection for covered household or premises-related claims.,6,PER_OCCURRENCE,FLAT,100000,1000000,300000,0,2500,0,0,0,FALSE,TRUE,"Jan 01, 2020",,PL049
COV099,HOME-HO3-DWELL-ENH-PROP,HO-3 Dwelling Coverage Residential Property Coverage,"Covers enhanced residential property exposure for the insured dwelling, unit, or personal property as applicable.",5,PER_OCCURRENCE,FLAT,100000,3000000,500000,500,10000,500,0.8,0,FALSE,TRUE,"Jan 01, 2020",,PL050
COV100,HOME-HO3-DWELL-ENH-LIAB,HO-3 Dwelling Coverage Household Liability Coverage,Provides enhanced personal liability protection for covered household or premises-related claims.,6,PER_OCCURRENCE,FLAT,100000,1000000,500000,0,2500,0,0,0,FALSE,TRUE,"Jan 01, 2020",,PL050
COV101,HOME-HO3-LIAB-STD-PROP,HO-3 Personal Liability Residential Property Coverage,"Covers standard residential property exposure for the insured dwelling, unit, or personal property as applicable.",5,PER_OCCURRENCE,FLAT,100000,3000000,300000,500,10000,1000,0.8,0,FALSE,TRUE,"Jan 01, 2020",,PL051
COV102,HOME-HO3-LIAB-STD-LIAB,HO-3 Personal Liability Household Liability Coverage,Provides standard personal liability protection for covered household or premises-related claims.,6,PER_OCCURRENCE,FLAT,100000,1000000,300000,0,2500,0,0,0,FALSE,TRUE,"Jan 01, 2020",,PL051
COV103,HOME-HO3-LIAB-ENH-PROP,HO-3 Personal Liability Residential Property Coverage,"Covers enhanced residential property exposure for the insured dwelling, unit, or personal property as applicable.",5,PER_OCCURRENCE,FLAT,100000,3000000,500000,500,10000,500,0.8,0,FALSE,TRUE,"Jan 01, 2020",,PL052
COV104,HOME-HO3-LIAB-ENH-LIAB,HO-3 Personal Liability Household Liability Coverage,Provides enhanced personal liability protection for covered household or premises-related claims.,6,PER_OCCURRENCE,FLAT,100000,1000000,500000,0,2500,0,0,0,FALSE,TRUE,"Jan 01, 2020",,PL052
COV105,HOME-HO5-DWELL-STD-PROP,HO-5 Comprehensive Dwelling Residential Property Coverage,"Covers standard residential property exposure for the insured dwelling, unit, or personal property as applicable.",5,PER_OCCURRENCE,PERCENTAGE,100000,3000000,300000,1,5,2,0.8,0,FALSE,TRUE,"Jan 01, 2020",,PL053
COV106,HOME-HO5-DWELL-STD-LIAB,HO-5 Comprehensive Dwelling Household Liability Coverage,Provides standard personal liability protection for covered household or premises-related claims.,6,PER_OCCURRENCE,FLAT,100000,1000000,300000,0,2500,0,0,0,FALSE,TRUE,"Jan 01, 2020",,PL053
COV107,HOME-HO5-DWELL-ENH-PROP,HO-5 Comprehensive Dwelling Residential Property Coverage,"Covers enhanced residential property exposure for the insured dwelling, unit, or personal property as applicable.",5,PER_OCCURRENCE,PERCENTAGE,100000,3000000,500000,1,5,1,0.8,0,FALSE,TRUE,"Jan 01, 2020",,PL054
COV108,HOME-HO5-DWELL-ENH-LIAB,HO-5 Comprehensive Dwelling Household Liability Coverage,Provides enhanced personal liability protection for covered household or premises-related claims.,6,PER_OCCURRENCE,FLAT,100000,1000000,500000,0,2500,0,0,0,FALSE,TRUE,"Jan 01, 2020",,PL054
COV109,HOME-HO5-PROP-STD-PROP,HO-5 Personal Property Residential Property Coverage,"Covers standard residential property exposure for the insured dwelling, unit, or personal property as applicable.",5,PER_OCCURRENCE,PERCENTAGE,100000,3000000,300000,1,5,2,0.8,0,FALSE,TRUE,"Jan 01, 2020",,PL055
COV110,HOME-HO5-PROP-STD-LIAB,HO-5 Personal Property Household Liability Coverage,Provides standard personal liability protection for covered household or premises-related claims.,6,PER_OCCURRENCE,FLAT,100000,1000000,300000,0,2500,0,0,0,FALSE,TRUE,"Jan 01, 2020",,PL055
COV111,HOME-HO5-PROP-ENH-PROP,HO-5 Personal Property Residential Property Coverage,"Covers enhanced residential property exposure for the insured dwelling, unit, or personal property as applicable.",5,PER_OCCURRENCE,PERCENTAGE,100000,3000000,500000,1,5,1,0.8,0,FALSE,TRUE,"Jan 01, 2020",,PL056
COV112,HOME-HO5-PROP-ENH-LIAB,HO-5 Personal Property Household Liability Coverage,Provides enhanced personal liability protection for covered household or premises-related claims.,6,PER_OCCURRENCE,FLAT,100000,1000000,500000,0,2500,0,0,0,FALSE,TRUE,"Jan 01, 2020",,PL056
COV113,HOME-CONDO-BLDG-STD-PROP,Condo Building Items Residential Property Coverage,"Covers standard residential property exposure for the insured dwelling, unit, or personal property as applicable.",5,PER_OCCURRENCE,FLAT,100000,3000000,300000,500,10000,1000,0.8,0,FALSE,TRUE,"Jan 01, 2020",,PL057
COV114,HOME-CONDO-BLDG-STD-LIAB,Condo Building Items Household Liability Coverage,Provides standard personal liability protection for covered household or premises-related claims.,6,PER_OCCURRENCE,FLAT,100000,1000000,300000,0,2500,0,0,0,FALSE,TRUE,"Jan 01, 2020",,PL057
COV115,HOME-CONDO-BLDG-ENH-PROP,Condo Building Items Residential Property Coverage,"Covers enhanced residential property exposure for the insured dwelling, unit, or personal property as applicable.",5,PER_OCCURRENCE,FLAT,100000,3000000,500000,500,10000,500,0.75,0,FALSE,TRUE,"Jan 01, 2020",,PL058
COV116,HOME-CONDO-BLDG-ENH-LIAB,Condo Building Items Household Liability Coverage,Provides enhanced personal liability protection for covered household or premises-related claims.,6,PER_OCCURRENCE,FLAT,100000,1000000,500000,0,2500,0,0,0,FALSE,TRUE,"Jan 01, 2020",,PL058
COV117,HOME-CONDO-LIAB-STD-PROP,Condo Personal Liability Residential Property Coverage,"Covers standard residential property exposure for the insured dwelling, unit, or personal property as applicable.",5,PER_OCCURRENCE,FLAT,100000,3000000,300000,500,10000,1000,0.6,0,FALSE,TRUE,"Jan 01, 2020",,PL059
COV118,HOME-CONDO-LIAB-STD-LIAB,Condo Personal Liability Household Liability Coverage,Provides standard personal liability protection for covered household or premises-related claims.,6,PER_OCCURRENCE,FLAT,100000,1000000,300000,0,2500,0,0,0,FALSE,TRUE,"Jan 01, 2020",,PL059
COV119,HOME-CONDO-LIAB-ENH-PROP,Condo Personal Liability Residential Property Coverage,"Covers enhanced residential property exposure for the insured dwelling, unit, or personal property as applicable.",5,PER_OCCURRENCE,FLAT,100000,3000000,500000,500,10000,500,0.75,0,FALSE,TRUE,"Jan 01, 2020",,PL060
COV120,HOME-CONDO-LIAB-ENH-LIAB,Condo Personal Liability Household Liability Coverage,Provides enhanced personal liability protection for covered household or premises-related claims.,6,PER_OCCURRENCE,FLAT,100000,1000000,500000,0,2500,0,0,0,FALSE,TRUE,"Jan 01, 2020",,PL060
COV121,HOME-RENT-PROP-STD-PROP,Renters Personal Property Residential Property Coverage,"Covers standard residential property exposure for the insured dwelling, unit, or personal property as applicable.",5,PER_OCCURRENCE,FLAT,100000,3000000,300000,500,10000,1000,0.8,0,FALSE,TRUE,"Jan 01, 2020",,PL061
COV122,HOME-RENT-PROP-STD-LIAB,Renters Personal Property Household Liability Coverage,Provides standard personal liability protection for covered household or premises-related claims.,6,PER_OCCURRENCE,FLAT,100000,1000000,300000,0,2500,0,0,0,FALSE,TRUE,"Jan 01, 2020",,PL061
COV123,HOME-RENT-PROP-ENH-PROP,Renters Personal Property Residential Property Coverage,"Covers enhanced residential property exposure for the insured dwelling, unit, or personal property as applicable.",5,PER_OCCURRENCE,FLAT,100000,3000000,500000,500,10000,500,0.8,0,FALSE,TRUE,"Jan 01, 2020",,PL062
COV124,HOME-RENT-PROP-ENH-LIAB,Renters Personal Property Household Liability Coverage,Provides enhanced personal liability protection for covered household or premises-related claims.,6,PER_OCCURRENCE,FLAT,100000,1000000,500000,0,2500,0,0,0,FALSE,TRUE,"Jan 01, 2020",,PL062
COV125,HOME-RENT-LIAB-STD-PROP,Renters Liability Residential Property Coverage,"Covers standard residential property exposure for the insured dwelling, unit, or personal property as applicable.",5,PER_OCCURRENCE,FLAT,100000,3000000,300000,500,10000,1000,0.8,0,FALSE,TRUE,"Jan 01, 2020",,PL063
COV126,HOME-RENT-LIAB-STD-LIAB,Renters Liability Household Liability Coverage,Provides standard personal liability protection for covered household or premises-related claims.,6,PER_OCCURRENCE,FLAT,100000,1000000,300000,0,2500,0,0,0,FALSE,TRUE,"Jan 01, 2020",,PL063
COV127,HOME-RENT-LIAB-ENH-PROP,Renters Liability Residential Property Coverage,"Covers enhanced residential property exposure for the insured dwelling, unit, or personal property as applicable.",5,PER_OCCURRENCE,FLAT,100000,3000000,500000,500,10000,500,0.8,0,FALSE,TRUE,"Jan 01, 2020",,PL064
COV128,HOME-RENT-LIAB-ENH-LIAB,Renters Liability Household Liability Coverage,Provides enhanced personal liability protection for covered household or premises-related claims.,6,PER_OCCURRENCE,FLAT,100000,1000000,500000,0,2500,0,0,0,FALSE,TRUE,"Jan 01, 2020",,PL064
